W000413	N00003467	house	Kentucky	Ed	Whitfield	R	True	repedwhitfield	http://www.house.gov/whitfield
U000038	N00008051	senate	Colorado	Mark	Udall	D	True	MarkUdall	http://www.markudall.senate.gov
T000472	N00006701	house	California	Mark	Takano	D	True	RepMarkTakano	http://takano.house.gov
H001069	N00033782	senate	North Dakota	Heidi	Heitkamp	D	True	SenatorHeitkamp	http://www.heitkamp.senate.gov
H001064	N00031557	house	Washington	Denny	Heck	D	True	RepDennyHeck	http://dennyheck.house.gov
M001165	N00028152	house	California	Kevin	McCarthy	R	True	GOPWhip	http://kevinmccarthy.house.gov
R000122	N00000362	senate	Rhode Island	John	Reed	D	True	SenJackReed	http://www.reed.senate.gov
C001064	N00027565	house	California	John	Campbell	R	True	RepJohnCampbell	http://www.campbell.house.gov
R000361	N00001685	senate	West Virginia	John	Rockefeller	D	True	senrockefeller	http://www.rockefeller.senate.gov
T000469	N00030196	house	New York	Paul	Tonko	D	True	PaulTonko	http://tonko.house.gov
G000410	N00005870	house	Texas	Gene	Green	D	True	RepGeneGreen	http://green.house.gov
N000186	N00031006	house	Mississippi	Alan	Nunnelee	R	True	repalannunnelee	http://nunnelee.house.gov
O000170	N00033540	house	Texas	Beto	O'Rourke	D	True	betoorourketx16	http://orourke.house.gov
C001095	N00033363	house	Arkansas	Tom	Cotton	R	True	RepTomCotton	http://cotton.house.gov
M001137	N00001171	house	New York	Gregory	Meeks	D	True	GregoryMeeks	http://www.house.gov/meeks
H001046	N00029835	senate	New Mexico	Martin	Heinrich	D	True	martinheinrich	http://www.heinrich.senate.gov
G000568	N00032029	house	Virginia	H.	Griffith	R	True	RepMGriffith	http://morgangriffith.house.gov
M001182	N00031412	house	South Carolina	Mick	Mulvaney	R	True	repmickmulvaney	http://mulvaney.house.gov
C001093	N00033518	house	Georgia	Doug	Collins	R	True	RepDougCollins	http://dougcollins.house.gov
M001144	N00013846	house	Florida	Jeff	Miller	R	True	None	http://jeffmiller.house.gov/
B000911	N00002713	house	Florida	Corrine	Brown	D	True	RepCorrineBrown	http://corrinebrown.house.gov
R000307	N00005285	senate	Kansas	Pat	Roberts	R	True	senpatroberts	http://www.roberts.senate.gov
F000454	N00029139	house	Illinois	Bill	Foster	D	True	RepBillFoster	http://foster.house.gov
D000617	N00030693	house	Washington	Suzan	DelBene	D	True	RepDelBene	http://delbene.house.gov
C001090	N00034128	house	Pennsylvania	Matthew	Cartwright	D	True	RepCartwright	http://cartwright.house.gov
H001049	N00029617	senate	North Carolina	Kay	Hagan	D	True	SenatorHagan	http://www.hagan.senate.gov
